branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1h_len,e1h_tot_nod,e1h_frt_nod,e1h_tot_fruit,e1h_tot_lvs,e2f_len,e2f_tot_nod,e2f_flor_nod,e2f_buds,e2f_lvs,e2i_len,e2i_tot_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2h_len,e2h_tot_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs
139,35,35,E,Fernando,X2,lshd,l,shd,33,31,10,5,64,56,15,54,17,4,35,18,53.5,17,10,97,12,57,21,9,88,12,60,18,9,60,9
140,35,35,W,Fernando,X2,lshd,l,shd,33,29.5,10,4,54,49,16,45,14,3,30,16,44.5,14,11,56,10,49,18,10,50,10,44,13,9,32,2
141,36,36,N,Fernando,X2,lshd,l,shd,33,32,13,6,23,20,14,42,17,4,11,11,42.5,17,12,119,1,45,20,12,86,7,45,21,8,18,0
142,36,36,S,Fernando,X2,lshd,l,shd,33,35.5,14,5,33,27,13,50,20,4,22,12,49.5,19,16,148,3,51,25,14,118,8,49,25,12,61,10
143,36,36,E,Fernando,X2,lshd,l,shd,33,26,12,6,36,28,12,39,17,4,16,14,38.5,16,10,102,2,40,20,11,97,6,41,19,10,36,2
144,36,36,W,Fernando,X2,lshd,l,shd,33,33,13,9,89,56,11,34,14,5,34,0,24.5,7,0,0,0,NA,NA,NA,NA,NA,na,na,na,na,na
145,37,37,N,Fernando,X2,lshd,l,shd,33,38,16,11,117,60,11,41,17,6,56,4,41,15,0,0,0,40.5,15,0,0,0,39.5,15,0,0,0
146,37,37,S,Fernando,X2,lshd,l,shd,33,36,13,10,143,115,14,50,17,7,87,5,49,17,0,0,2,51.5,20,0,0,7,58.5,25,0,0,9
147,37,37,E,Fernando,X2,lshd,l,shd,33,32,12,7,51,37,15,39.5,14,5,28,17,40,15,7,19,0,44,17,4,10,7,50,22,4,8,11
148,37,37,W,Fernando,X2,lshd,l,shd,33,31,12,7,92,76,16,36,13,4,56,16,36.5,14,6,17,1,41.5,19,7,16,9,45,21,6,9,11
149,38,38,N,Fernando,X2,lshd,l,shd,33,26,10,6,34,21,11,34,14,2,11,11,36,14,8,73,3,40,19,8,83,9,43,19,7,63,9
