branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_new_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1i_sick_lvs,e1i_sick_id,e1_calc_per_thin,e1i_frt_pot_nod,e1h_len,e1h_tot_nod,e1h_new_nod,e1h_frt_nod,e1h_pot_nod,e1h_tot_fruit,e1h_tot_lvs,e1h_sick,e1h_sick_id,e1h_db_anth,e1h_anthrac,e1i_ht,e1h_ht,e1_ortho,e2f_length,e2f_lat,e2f_tot_nod,e2f_new_nod,e2f_flor_nod,e2f_buds,checkingbuds,e2f_lvs,e2f_sick,e2f_sick_id,e2f_anthrac,e2i_tot_len,e2i_new_len,e2i_diam,e2i_tot_nod,e2i_new_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2i_sick,e2i_sick_id,e2i_lat,e2i_db_anth,e2f_bud_nod ,e2i_ffnod,e2f_bud_nod_int ,e2h_tot_len,e2h_new_len,e2h_diam,e2h_tot_nod,e2h_new_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs,e2h_sick_lvs,e2h_sick_type,e2h_anth,e2h_lat,
662,166,78,S,Miguel,X8,lsun,l,sun,0,22,13,7,6,NA,17,9,0,NA,NA,2.428571429,29,17,10,4,7,11,6,5,OR,0,N,217,219,4,29,0,18,1,4,10,6,2,1,U,N,32,5,4,21,5,1,1,8,0,na,0,0,2.5,1,3,na,na,na,na,na,na,na,na,na,na ,,,
663,166,78,E,Miguel,X8,lsun,l,sun,0,23,10,4,6,NA,20,8,0,NA,NA,5,29,12,8,4,4,16,5,3,OR,0,N,217,219,4,31,1,12,1,4,12,8,4,2,U,N,33,6,4,16,5,3,5,6,1,u,1,0,3,1.666666667,3,35.00,9.00,4.00,17.00,6.00,3.00,4.00,0.00,na,na ,An,,
664,166,78,W,Miguel,X8,lsun,l,sun,0,20,9,6,3,NA,19,6,2,OU,NA,3.166666667,22,11,6,4,5,17,3,2,OU,0,N,217,219,4,22,0,9,NA,0,0,0,0,NA,NA,Y,22,0,4,11,0,0,0,0,0,na,0,1,0,0,0,na,na,na,na,na,na,na,na,na,na ,,,
665,167,79,N,Miguel,X8,lsun,l,sun,33,29,13,9,4,50,40,9,1,OU,20,4.444444444,44.5,19,10,7,9,30,11,5,O,0,N,164,177,3,44.5,0,19,1,8,29,21,5,2,U,N,47,6,5,22,5,7,24,9,0,na,2,0,3.625,3.428571429,4,53.00,13.50,5.00,26.00,8.00,7.00,20.00,7.00,0.00,na ,2L,,
666,167,79,S,Miguel,X8,lsun,l,sun,33,29,12,8,4,54,29,9,0,NA,46.2962963,3.625,39,17,10,4,7,6,8,2,O,0,N,164,177,3,39,1,17,1,8,28,20,2,0,NA,N,42,5,4,19,4,6,22,8,1,u,1,0,3.5,3.666666667,4,51.00,17.00,5.00,25.00,11.00,2.00,7.00,13.00,3.00,O,,,
667,167,79,E,Miguel,X8,lsun,l,sun,33,32.5,13,10,3,53,42,7,1,O,20.75471698,4.2,36,16,6,4,10,15,3,2,OU,0,N,164,177,3,35,0,17,1,0,0,0,1,1,U,N,36,0,4,17,0,0,0,2,0,na,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na ,,,
668,167,79,W,Miguel,X8,lsun,l,sun,33,21.5,10,6,4,10,7,8,1,O,30,1.166666667,26,13,11,1,2,3,2,1,U,0,N,164,177,3,25.5,0,13,1,0,0,0,0,NA,NA,N,26,0,4,12,0,0,0,0,0,na,0,1,0,0,0,na,na,na,na,na,na,na,na,na,na ,,,
669,168,80,N,Miguel,X8,lsun,l,sun,0,24,11,6,5,NA,55,9,0,NA,NA,9.166666667,22,11,4,7,7,54,0,NA,NA,NA,NA,198,206,5,24.5,0,11,NA,0,0,0,0,NA,NA,N,24,0,6,11,0,0,0,4,0,na,0,0,0,0,0,24.00,0.00,4.00,11.00,0.00,0.00,0.00,0.00,na,na ,An,,
670,168,80,S,Miguel,X8,lsun,l,sun,0,30,12,8,4,NA,48,10,1,O,NA,6,35.5,16,11,5,5,20,3,1,O,0,N,198,206,5,35.5,0,17,4,8,26,18,4,0,NA,N,36,3.5,5,20,4,4,10,7,0,na,0,0,3.25,2.5,3,43.00,9.50,4.50,21.00,7.00,4.00,8.00,7.00,0.00,na ,1L,,
671,168,80,E,Miguel,X8,lsun,l,sun,0,33,12,10,2,NA,63,5,1,R,NA,6.3,31.5,12,2,10,10,66,0,NA,NA,NA,NA,198,206,5,32,0,12,1,0,0,0,0,NA,NA,Y,31,0,4.5,11,0,0,0,0,0,na,0,1,0,0,0,31.50,0.00,4.00,12.00,0.00,0.00,0.00,0.00,0.00,na ,An,,
672,168,80,W,Miguel,X8,lsun,l,sun,0,33.5,15,10,5,NA,65,13,1,U,NA,6.5,40,16,7,7,9,41,11,3,O,0,N,198,206,5,39,0,17,NA,8,32,24,1,0,NA,N,41,1,5,19,1,8,29,2,0,u,5,0,4,3.625,4,42.50,6.00,5.00,20.00,5.00,5.00,8.00,3.00,1.00,U,,,
673,169,81,N,Miguel,X8,lsun,l,sun,33,30,12,9,3,65,50,9,0,NA,23.07692308,5.555555556,41,18,10,5,8,27,11,1,U,0,N,236,234,4,41.5,0,18,0,9,52,43,4,3,U,N,42,2,6,19,2,8,44,6,0,na,0,0,5.777777778,5.5,6,44.00,4.00,6.00,19.00,2.00,6.00,34.00,3.00,0.00,na ,,,
674,169,81,S,Miguel,X8,lsun,l,sun,33,15,9,6,3,39,19,12,4,OU,51.28205128,3.166666667,27,12,7,3,5,14,1,0,NA,1,Y,236,234,4,26.5,3,9,1,2,3,1,2,2,U,N,26,0,4,10,0,0,0,0,0,na,4,0,1.5,0,2,28.50,8.50,4.00,15.00,7.00,1.00,1.00,3.00,1.00,O,an 3 ,,
675,169,81,E,Miguel,X8,lsun,l,sun,33,27,10,7,3,47,38,10,2,O,19.14893617,5.428571429,28,10,5,4,5,22,2,0,NA,NA,NA,236,234,4,29,0,10,0,0,0,0,2,0,NA,N,28,0,4,14,0,0,0,6,0,na,0,0,0,0,0,35.50,0.00,4.00,18.00,0.00,0.00,0.00,9.00,2.00,O,1,,
676,169,81,W,Miguel,X8,lsun,l,sun,33,19,8,5,3,6,6,9,3,OU,0,1.2,23.5,11,6,2,5,4,4,2,OR,0,N,236,234,4,21.5,0,12,NA,2,3,1,3,1,U,N,22,4,4,14,5,2,3,2,0,na,0,0,1.5,1.5,2,26.00,6.50,3.00,16.00,7.00,1.00,1.00,5.00,0.00,na ,,,
