branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,n1i_tot_len,n1i_tot_nod,n1i_frtd_nod,n1i_frt,n1i_tot_lvs,n1h_tot_len,n1h_tot_nod,n1h_frtd_nod,n1h_frt,n1h_tot_lvs
1312,64,64,W,Fernando,X3,lsun,l,sun,66,36,15,10,160,10,38,18,10,87,9
1313,65,65,N,Fernando,X3,lsun,l,sun,0,32,13,8,115,10,47,19,8,73,9
1314,65,65,S,Fernando,X3,lsun,l,sun,0,39,14,9,127,14,46,18,9,106,15
1315,65,65,E,Fernando,X3,lsun,l,sun,0,44,15,8,60,17,47,17,8,48,17
1316,65,65,W,Fernando,X3,lsun,l,sun,0,31,13,7,78,15,35,16,6,53,15
1317,66,66,N,Fernando,X3,lsun,l,sun,0,27.5,12,9,118,9,29,12,8,81,3
1318,66,66,S,Fernando,X3,lsun,l,sun,0,27,13,9,66,12,23,11,9,56,1
1319,66,66,E,Fernando,X3,lsun,l,sun,0,32,15,9,105,12,33,16,8,86,2
1320,66,66,W,Fernando,X3,lsun,l,sun,0,18,9,6,60,2,18,9,6,47,2
1321,67,67,N,Fernando,X4,hsun,h,sun,0,25.5,12,2,3,9,42,19,1,1,21
1322,67,67,S,Fernando,X4,hsun,h,sun,0,41,13,5,15,20,43,13,5,10,17
1323,67,67,E,Fernando,X4,hsun,h,sun,0,33.5,14,8,20,11,50,23,6,8,16
1324,67,67,W,Fernando,X4,hsun,h,sun,0,41,19,13,31,11,55,26,9,22,13
